Linux 3.10.0-229.el7.x86_64 (ip-10-234-134-85.us-west-1.compute.internal) 	08/27/2015 	_x86_64_	(16 CPU)

10:51:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:52:46 PM     all     11.22      0.00      3.33      2.30      0.09     83.05
10:53:46 PM     all      8.52      0.00      5.31      2.27      0.12     83.78
10:54:46 PM     all      5.36      0.00      3.75      5.90      0.18     84.82
10:55:46 PM     all      3.23      0.00      2.78      7.81      0.22     85.96
10:56:46 PM     all      7.82      0.00      2.65      5.77      0.15     83.60
10:57:46 PM     all      7.48      0.00      2.03      5.48      0.15     84.87
10:58:46 PM     all      9.38      0.00      2.74      4.00      0.12     83.76
10:59:46 PM     all     11.43      0.00      3.16      3.30      0.10     82.01
11:00:46 PM     all     13.82      0.00      2.62      2.20      0.08     81.28
11:01:46 PM     all     10.26      0.00      2.32      3.82      0.13     83.46
11:02:46 PM     all      3.45      0.00      3.69      6.59      0.20     86.07
11:03:46 PM     all      3.94      0.00      5.15      6.34      0.22     84.34
11:04:46 PM     all      4.01      0.00      5.13      6.77      0.20     83.90
11:05:46 PM     all      6.44      0.00      3.16      5.85      0.27     84.28
11:06:46 PM     all      5.33      0.00      3.40      6.58      0.22     84.47
11:07:46 PM     all      9.42      0.00      3.21      4.20      0.14     83.03
11:08:46 PM     all     12.10      0.00      3.00      2.83      0.09     81.97
11:09:46 PM     all     14.72      0.00      2.63      1.48      0.06     81.12
11:10:46 PM     all     14.63      0.00      3.21      1.17      0.05     80.94
11:11:46 PM     all     15.53      0.00      2.19      0.84      0.03     81.40
11:12:46 PM     all     11.16      0.00      1.63      0.69      0.03     86.50
11:13:46 PM     all     10.83      0.00      1.80      0.08      0.01     87.28
11:14:46 PM     all     10.93      0.00      2.03      0.08      0.03     86.92
11:15:46 PM     all     10.99      0.00      2.01      0.07      0.03     86.89
11:16:46 PM     all     11.39      0.00      1.41      0.10      0.02     87.07
11:17:46 PM     all      8.37      0.00      4.23      0.56      0.05     86.80
11:18:46 PM     all      9.05      0.00      2.53      0.98      0.05     87.38
11:19:46 PM     all      5.58      0.00      1.16      4.20      0.13     88.94
11:20:46 PM     all      5.22      0.00      1.66      4.25      0.10     88.78
11:21:46 PM     all      0.57      0.00      1.06      6.10      0.21     92.06
11:22:46 PM     all      0.78      0.00      1.00      6.22      0.16     91.83
11:23:46 PM     all      0.67      0.00      1.00      6.79      0.17     91.37
11:24:46 PM     all      0.60      0.00      1.14      6.69      0.18     91.39
11:25:46 PM     all      3.31      0.00      2.70      4.16      0.13     89.71
11:26:46 PM     all      6.68      0.00      1.33      3.47      0.06     88.46
11:27:46 PM     all      5.68      0.00      1.16      4.30      0.10     88.76
11:28:46 PM     all      3.36      0.00      1.18      5.58      0.15     89.73
11:29:46 PM     all      0.25      0.00      0.40      7.66      0.18     91.50
11:30:46 PM     all      0.24      0.00      0.42      7.36      0.15     91.83
11:31:46 PM     all      3.27      0.00      1.13      5.22      0.12     90.26
11:32:46 PM     all      2.11      0.00      1.81      4.88      0.23     90.97
11:33:46 PM     all      3.30      0.00      2.56      3.40      0.22     90.51
11:34:46 PM     all      6.81      0.00      2.39      2.02      0.09     88.69
11:35:46 PM     all      2.84      0.00      2.52      3.84      0.16     90.64
11:36:46 PM     all      0.71      0.00      1.13      6.32      0.19     91.64
11:37:46 PM     all      1.28      0.00      1.54      5.52      0.16     91.50
11:38:46 PM     all      5.06      0.00      2.94      2.22      0.16     89.62
11:39:46 PM     all      4.71      0.00      2.92      2.23      0.15     89.99
11:40:46 PM     all      4.17      0.00      3.53      2.61      0.17     89.53
11:41:46 PM     all      4.75      0.00      2.80      2.55      0.13     89.77
11:42:46 PM     all      8.63      0.00      2.52      0.86      0.05     87.94
11:43:46 PM     all      7.63      0.00      2.46      1.46      0.06     88.38
11:44:46 PM     all      6.88      0.00      3.92      1.16      0.07     87.97
11:45:46 PM     all      4.60      0.00      2.15      4.18      0.12     88.95
11:46:46 PM     all      6.21      0.00      0.54      3.69      0.13     89.44
11:47:46 PM     all      3.93      0.00      0.65      4.81      0.14     90.47
11:48:46 PM     all      0.59      0.00      0.73      6.60      0.14     91.93
11:49:46 PM     all      6.33      0.00      1.88      2.58      0.06     89.15
11:50:46 PM     all     10.28      0.00      2.39      0.03      0.00     87.30
11:51:46 PM     all     11.86      0.00      0.78      0.08      0.01     87.27
11:52:46 PM     all     11.90      0.00      0.79      0.05      0.02     87.24
11:53:46 PM     all     11.96      0.00      0.77      0.03      0.01     87.23
11:54:46 PM     all     12.05      0.00      0.60      0.03      0.00     87.31
11:55:46 PM     all     12.19      0.00      0.47      0.01      0.00     87.33
11:56:46 PM     all     11.43      0.00      0.91      0.15      0.02     87.50
11:57:46 PM     all      9.47      0.00      2.53      0.47      0.04     87.49
11:58:46 PM     all      7.86      0.00      2.94      1.20      0.08     87.91
11:59:46 PM     all      7.01      0.00      3.20      1.62      0.11     88.06
12:00:46 AM     all      9.40      0.00      2.01      0.96      0.04     87.59
12:01:46 AM     all      8.20      0.00      4.23      0.63      0.05     86.88
12:02:46 AM     all      9.39      0.00      2.32      0.86      0.03     87.41
12:03:46 AM     all      6.22      0.00      1.30      3.25      0.11     89.11
12:04:46 AM     all      6.26      0.00      0.53      3.72      0.13     89.36
12:05:46 AM     all      7.09      0.00      1.18      2.16      0.07     89.50
12:06:46 AM     all      6.06      0.00      1.03      2.74      0.12     90.04
12:07:46 AM     all      6.17      0.00      1.05      2.62      0.12     90.04
12:08:46 AM     all      6.81      0.00      1.07      2.27      0.11     89.74
12:09:46 AM     all      7.22      0.00      1.28      2.86      0.06     88.58
12:10:46 AM     all      6.62      0.00      1.13      3.76      0.09     88.39
12:11:46 AM     all      8.83      0.00      1.28      1.49      0.07     88.33
12:12:46 AM     all     11.28      0.00      1.50      0.05      0.03     87.14
12:13:46 AM     all     11.72      0.00      0.99      0.01      0.01     87.28
12:14:46 AM     all     11.76      0.00      0.96      0.03      0.01     87.24
12:15:46 AM     all     10.05      0.00      1.09      0.83      0.05     87.99
12:16:46 AM     all      5.69      0.00      1.08      3.54      0.16     89.52
12:17:46 AM     all      5.37      0.00      1.30      3.79      0.17     89.37
12:18:46 AM     all      5.75      0.00      1.74      3.28      0.17     89.07
12:19:46 AM     all      6.29      0.00      2.63      2.22      0.16     88.70
12:20:46 AM     all      6.28      0.00      1.66      2.35      0.12     89.59
12:21:46 AM     all      6.72      0.00      1.56      2.12      0.10     89.50
12:22:46 AM     all      5.53      0.00      1.40      2.76      0.12     90.19
12:23:46 AM     all      6.18      0.00      1.78      2.30      0.09     89.65
12:24:46 AM     all     10.66      0.00      2.03      0.11      0.02     87.18
12:25:46 AM     all     11.16      0.00      1.44      0.07      0.06     87.28
